Gene_ID,Tumor_Mean,Normal_Mean,Log2FC,P_value,T_stat,-log10(P),Significant
12287,5.615648648648649,5.116966216216216,0.11306630811868557,1.2747173125045242e-11,7.050674977183566,10.894586115803653,Not Significant
31540,7.108114864864865,7.992351351351351,-0.14933187888130073,1.2936577855526529e-11,-7.048275300413573,10.888180593452502,Not Significant
41149,7.8501824324324305,7.3046621621621615,0.09178571454467788,1.3073291880906161e-11,7.046564588837359,10.883615042434474,Not Significant
32710,7.247756756756756,6.23972972972973,0.1880659450170561,1.3098401027411138e-11,7.046252311682791,10.882781717119496,Not Significant
2564,5.022824324324324,4.366621621621621,0.16642600532825647,1.3244664114726187e-11,7.044444900751485,10.877959050954567,Not Significant
51408,10.609054054054052,11.709574324324326,-0.13066529045688302,1.360765168680705e-11,-7.040042904912354,10.866216815829473,Not Significant
28510,9.223810810810809,9.727452702702703,-0.06937449534778972,1.3676206087732023e-11,-7.039224530045299,10.864034363411387,Not Significant
23771,7.269804054054054,7.824709459459458,-0.09369563418542848,1.3727848998842928e-11,-7.038610700168179,10.862397506544463,Not Significant
9262,10.402337837837837,10.81358108108108,-0.05111670630290721,1.379675073680137e-11,-7.037795261203118,10.860223181948932,Not Significant
2441,5.732554054054053,4.490358108108107,0.2942536558720428,1.384645856711466e-11,7.037209463876361,10.858661289518627,Not Significant
57015,8.195972972972973,7.7713581081081085,0.06820198716286097,1.4350464414483111e-11,7.031384083563637,10.843134043920674,Not Significant
38944,5.457716216216216,4.970020270270271,0.11328821329157357,1.4454984896962405e-11,7.030201262743689,10.839982357758062,Not Significant
32953,11.919324324324323,10.70485135135135,0.1424240069065168,1.4699521675478635e-11,7.027466493262504,10.832696797025973,Not Significant
21027,12.310466216216218,11.547777027027026,0.08512930643717498,1.496149392079675e-11,7.024585980249155,10.825025039548724,Not Significant
17121,11.250871621621622,11.87845945945946,-0.07207562909305887,1.5003952925286615e-11,-7.024123803126013,10.823794307112646,Not Significant
51792,9.113270270270272,9.438614864864865,-0.045680699805211944,1.508251566098979e-11,-7.02327201235635,10.821526215059931,Not Significant
36547,13.002783783783784,13.45591216216216,-0.04594597856969562,1.5111569984431894e-11,-7.022958106124448,10.820690413215225,Not Significant
49786,11.01047972972973,11.588635135135135,-0.06782809678300383,1.5536641842522605e-11,-7.0184322873668625,10.808642845693797,Not Significant
57097,8.055891891891891,7.600567567567568,0.07442486645407431,1.5539196193717253e-11,7.0184054608015005,10.808571449992101,Not Significant
35074,9.181195945945946,8.682162162162163,0.07250587664617614,1.602119270013234e-11,7.013419515189628,10.795305155929379,Not Significant
6011,6.3879256756756755,6.837317567567568,-0.08519060357427799,1.6563144688728842e-11,-7.007986731301083,10.78085720430804,Not Significant
20322,5.078297297297297,4.655128378378379,0.1041074651052396,1.6587283169648643e-11,7.007748844571991,10.780224741224153,Not Significant
39590,12.74168918918919,11.979608108108108,0.08231253264894667,1.663803806936731e-11,7.007249760257697,10.778897886331485,Not Significant
32548,9.540060810810811,9.02737837837838,0.071938722743353,1.6720537299450812e-11,7.006441715342518,10.776749771009598,Not Significant
43704,9.674790540540542,9.951533783783784,-0.0369251745120005,1.6887591893930622e-11,-7.00481743528902,10.772432274747505,Not Significant
52832,11.978783783783785,11.498567567567568,0.05439243720503706,1.7066494979169523e-11,7.003095395139808,10.76785566268764,Not Significant
19713,5.27829054054054,5.648533783783783,-0.08266442080174752,1.7226692656217377e-11,-7.001568415621842,10.763798094521144,Not Significant
23733,5.347310810810811,4.620655405405406,0.17540712127246083,1.747941358307995e-11,6.999187704158164,10.75747314160462,Not Significant
34746,12.917351351351352,14.033155405405406,-0.11126318342597585,1.8126046121666243e-11,-6.993247144006848,10.741696919280754,Not Significant
58093,6.640283783783784,7.311493243243241,-0.12148146952195704,1.8516594261242332e-11,-6.989759426355702,10.732438889660836,Not Significant
37193,5.393047297297297,5.884716216216216,-0.10689342129503432,1.8565167479284224e-11,-6.989330723583,10.731301128581594,Not Significant
34050,7.797060810810811,6.8149391891891895,0.17078693774332665,1.9088827743191136e-11,6.98477779285846,10.719220741082255,Not Significant
5356,11.95622972972973,12.383587837837837,-0.0468189675957853,1.924366745902393e-11,-6.983455078757906,10.71571215654804,Not Significant
